exp,prod,sum,const,nodes,unique_feats,filename,algo
1,1,2,21,25,20,COIL20_new/COIL20_run_4/COIL20-0.050665567478948015-44.0.tree,NEW
4,6,4,30,44,26,COIL20_new/COIL20_run_4/COIL20-0.03393064404948232-95.0.tree,NEW
2,0,2,22,26,21,COIL20_new/COIL20_run_17/COIL20-0.041740640602876355-58.0.tree,NEW
8,4,8,35,55,31,COIL20_new/COIL20_run_17/COIL20-0.0244302737722632-3537.0.tree,NEW
4,0,3,26,33,24,COIL20_new/COIL20_run_17/COIL20-0.02875295756017643-90.0.tree,NEW
5,3,4,30,42,29,COIL20_new/COIL20_run_17/COIL20-0.025404510395707458-118.0.tree,NEW
1,0,2,20,23,19,COIL20_new/COIL20_run_17/COIL20-0.04918663601982226-52.0.tree,NEW
2,1,0,10,13,9,COIL20_new/COIL20_run_17/COIL20-0.13486830706461006-34.0.tree,NEW
5,1,4,28,38,25,COIL20_new/COIL20_run_17/COIL20-0.028093549724272304-108.0.tree,NEW
5,2,4,29,40,25,COIL20_new/COIL20_run_17/COIL20-0.026829053021834637-111.0.tree,NEW
8,4,7,34,53,31,COIL20_new/COIL20_run_17/COIL20-0.02440671808629552-7633.0.tree,NEW
6,1,4,28,39,25,COIL20_new/COIL20_run_17/COIL20-0.027945578563976725-110.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_17/COIL20-0.22243341996422938-4.0.tree,NEW
4,2,3,28,37,26,COIL20_new/COIL20_run_17/COIL20-0.028716523679111483-100.0.tree,NEW
2,0,2,23,27,22,COIL20_new/COIL20_run_17/COIL20-0.03876377477829929-60.0.tree,NEW
14,4,9,37,64,33,COIL20_new/COIL20_run_17/COIL20-0.024139710950891125-173773.0.tree,NEW
7,4,7,34,52,31,COIL20_new/COIL20_run_17/COIL20-0.02456358521499369-3025.0.tree,NEW
7,3,7,33,50,31,COIL20_new/COIL20_run_17/COIL20-0.024577127114539132-894.0.tree,NEW
3,0,2,23,28,22,COIL20_new/COIL20_run_17/COIL20-0.03827869997764344-62.0.tree,NEW
2,0,2,21,25,20,COIL20_new/COIL20_run_17/COIL20-0.046688988095238915-56.0.tree,NEW
5,1,3,27,36,24,COIL20_new/COIL20_run_17/COIL20-0.028725256632386453-97.0.tree,NEW
3,1,0,10,14,9,COIL20_new/COIL20_run_17/COIL20-0.13363548187271845-38.0.tree,NEW
6,3,5,31,45,29,COIL20_new/COIL20_run_17/COIL20-0.02468440271257244-237.0.tree,NEW
7,4,8,35,54,32,COIL20_new/COIL20_run_17/COIL20-0.02451626425217901-3473.0.tree,NEW
13,5,9,38,65,33,COIL20_new/COIL20_run_17/COIL20-0.024232175460168315-95060.0.tree,NEW
10,4,8,35,57,32,COIL20_new/COIL20_run_17/COIL20-0.024288404035323286-27117.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_17/COIL20-0.2744710275542147-2.0.tree,NEW
3,0,3,25,31,23,COIL20_new/COIL20_run_17/COIL20-0.03251201654370728-76.0.tree,NEW
3,0,1,12,16,11,COIL20_new/COIL20_run_17/COIL20-0.08129846206870911-40.0.tree,NEW
0,1,0,7,8,7,COIL20_new/COIL20_run_28/COIL20-0.1171049328377678-14.0.tree,NEW
6,3,5,31,45,29,COIL20_new/COIL20_run_28/COIL20-0.028254597026604267-922.0.tree,NEW
3,1,1,23,28,23,COIL20_new/COIL20_run_28/COIL20-0.03203985486996175-62.0.tree,NEW
2,2,1,24,29,24,COIL20_new/COIL20_run_28/COIL20-0.031822171454653936-72.0.tree,NEW
5,3,5,31,44,30,COIL20_new/COIL20_run_28/COIL20-0.027782388777107148-4714.0.tree,NEW
1,0,0,2,3,2,COIL20_new/COIL20_run_28/COIL20-0.1844467266562338-6.0.tree,NEW
4,3,2,27,36,26,COIL20_new/COIL20_run_28/COIL20-0.028280702734929053-586.0.tree,NEW
4,1,2,26,33,25,COIL20_new/COIL20_run_28/COIL20-0.028799510023101493-116.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_28/COIL20-0.24885975575676272-4.0.tree,NEW
3,1,2,25,31,25,COIL20_new/COIL20_run_28/COIL20-0.02920494028988707-87.0.tree,NEW
4,1,3,27,35,26,COIL20_new/COIL20_run_28/COIL20-0.028634189395632226-230.0.tree,NEW
1,0,1,20,22,20,COIL20_new/COIL20_run_28/COIL20-0.04135119746255206-42.0.tree,NEW
6,3,2,28,39,27,COIL20_new/COIL20_run_28/COIL20-0.028257263488337236-711.0.tree,NEW
0,0,2,11,13,11,COIL20_new/COIL20_run_28/COIL20-0.08636826747522164-22.0.tree,NEW
0,0,2,12,14,12,COIL20_new/COIL20_run_28/COIL20-0.08207890863700706-24.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_28/COIL20-1.1236991392801223-2.0.tree,NEW
5,1,3,28,37,27,COIL20_new/COIL20_run_28/COIL20-0.02862061256427456-453.0.tree,NEW
6,3,4,31,44,30,COIL20_new/COIL20_run_28/COIL20-0.02815922153290118-965.0.tree,NEW
1,0,1,14,16,14,COIL20_new/COIL20_run_28/COIL20-0.06799185157239745-40.0.tree,NEW
0,1,0,6,7,6,COIL20_new/COIL20_run_28/COIL20-0.13562774796929727-12.0.tree,NEW
3,2,1,24,30,24,COIL20_new/COIL20_run_28/COIL20-0.03069899722408509-74.0.tree,NEW
0,0,0,4,4,4,COIL20_new/COIL20_run_28/COIL20-0.13982227857888058-8.0.tree,NEW
0,1,1,22,24,22,COIL20_new/COIL20_run_28/COIL20-0.03819429307325373-44.0.tree,NEW
3,0,4,16,23,15,COIL20_new/COIL20_run_28/COIL20-0.0800487298792758-39.0.tree,NEW
1,1,1,22,25,22,COIL20_new/COIL20_run_28/COIL20-0.036150747075041956-46.0.tree,NEW
1,1,1,23,26,23,COIL20_new/COIL20_run_28/COIL20-0.034540646657724994-58.0.tree,NEW
5,3,2,28,38,28,COIL20_new/COIL20_run_28/COIL20-0.02827015332737154-615.0.tree,NEW
2,1,1,23,27,23,COIL20_new/COIL20_run_28/COIL20-0.032651278038600684-60.0.tree,NEW
6,2,3,28,39,27,COIL20_new/COIL20_run_21/COIL20-0.027675567292645475-114.0.tree,NEW
4,1,2,25,32,24,COIL20_new/COIL20_run_21/COIL20-0.03040842275877431-78.0.tree,NEW
2,0,0,13,15,12,COIL20_new/COIL20_run_21/COIL20-0.07112022831432979-40.0.tree,NEW
2,0,0,14,16,13,COIL20_new/COIL20_run_21/COIL20-0.06527288732394365-42.0.tree,NEW
7,3,3,29,42,28,COIL20_new/COIL20_run_21/COIL20-0.027610198226395433-129.0.tree,NEW
0,0,0,9,9,9,COIL20_new/COIL20_run_21/COIL20-0.09148853770772747-18.0.tree,NEW
6,1,3,27,37,25,COIL20_new/COIL20_run_21/COIL20-0.028354956125641706-111.0.tree,NEW
3,1,2,24,30,22,COIL20_new/COIL20_run_21/COIL20-0.03859372671212369-64.0.tree,NEW
0,0,1,10,11,10,COIL20_new/COIL20_run_21/COIL20-0.08914234248081099-20.0.tree,NEW
0,0,0,4,4,4,COIL20_new/COIL20_run_21/COIL20-0.1351578917952156-8.0.tree,NEW
6,1,2,26,35,23,COIL20_new/COIL20_run_21/COIL20-0.029056596523585443-94.0.tree,NEW
3,1,2,25,31,24,COIL20_new/COIL20_run_21/COIL20-0.030829583985393705-76.0.tree,NEW
9,1,3,28,41,27,COIL20_new/COIL20_run_21/COIL20-0.026840172982338095-384.0.tree,NEW
2,0,0,15,17,14,COIL20_new/COIL20_run_21/COIL20-0.06522925748938074-44.0.tree,NEW
1,0,0,14,15,14,COIL20_new/COIL20_run_21/COIL20-0.07144210168417892-30.0.tree,NEW
0,0,0,7,7,7,COIL20_new/COIL20_run_21/COIL20-0.1056942814293172-14.0.tree,NEW
2,1,0,20,23,18,COIL20_new/COIL20_run_21/COIL20-0.04754772850063266-54.0.tree,NEW
2,1,1,24,28,22,COIL20_new/COIL20_run_21/COIL20-0.036197101591028125-72.0.tree,NEW
1,0,2,13,16,12,COIL20_new/COIL20_run_21/COIL20-0.07210412940606642-28.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_21/COIL20-0.24437373081079017-2.0.tree,NEW
8,3,3,29,43,28,COIL20_new/COIL20_run_21/COIL20-0.02719349662791598-193.0.tree,NEW
9,2,3,29,43,28,COIL20_new/COIL20_run_21/COIL20-0.027000416852970555-365.0.tree,NEW
0,0,0,3,3,3,COIL20_new/COIL20_run_21/COIL20-0.17096822835159092-6.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_21/COIL20-0.21367666648036382-4.0.tree,NEW
1,1,1,23,26,21,COIL20_new/COIL20_run_21/COIL20-0.04058265099858399-58.0.tree,NEW
7,3,3,29,42,28,COIL20_new/COIL20_run_21/COIL20-0.027398348423876784-145.0.tree,NEW
0,0,2,12,14,11,COIL20_new/COIL20_run_21/COIL20-0.08476044926969228-24.0.tree,NEW
1,0,2,12,15,11,COIL20_new/COIL20_run_21/COIL20-0.0784269855242572-26.0.tree,NEW
1,1,0,19,21,18,COIL20_new/COIL20_run_21/COIL20-0.04817830594679168-50.0.tree,NEW
0,0,0,8,8,8,COIL20_new/COIL20_run_21/COIL20-0.09670886429689285-16.0.tree,NEW
6,1,2,26,35,24,COIL20_new/COIL20_run_21/COIL20-0.028841253539757472-109.0.tree,NEW
1,0,0,5,6,5,COIL20_new/COIL20_run_21/COIL20-0.12665502272896634-12.0.tree,NEW
5,1,2,26,34,25,COIL20_new/COIL20_run_21/COIL20-0.03039845554810411-92.0.tree,NEW
2,1,2,24,29,22,COIL20_new/COIL20_run_21/COIL20-0.039072432278858094-62.0.tree,NEW
8,2,3,29,42,27,COIL20_new/COIL20_run_21/COIL20-0.02714222837022162-341.0.tree,NEW
2,0,0,16,18,15,COIL20_new/COIL20_run_21/COIL20-0.059474963205157105-46.0.tree,NEW
3,1,1,24,29,22,COIL20_new/COIL20_run_21/COIL20-0.03384881045532401-74.0.tree,NEW
9,3,5,31,48,27,COIL20_new/COIL20_run_26/COIL20-0.02826825536552635-143.0.tree,NEW
9,3,7,33,52,29,COIL20_new/COIL20_run_26/COIL20-0.02663062867948407-400.0.tree,NEW
7,0,4,26,37,23,COIL20_new/COIL20_run_26/COIL20-0.03253034410164646-87.0.tree,NEW
8,4,6,33,51,30,COIL20_new/COIL20_run_26/COIL20-0.026604883933229517-752.0.tree,NEW
8,3,6,32,49,28,COIL20_new/COIL20_run_26/COIL20-0.02674997904091192-254.0.tree,NEW
7,1,4,27,39,24,COIL20_new/COIL20_run_26/COIL20-0.031083037577315675-92.0.tree,NEW
1,1,1,5,8,4,COIL20_new/COIL20_run_26/COIL20-0.17917517838512526-15.0.tree,NEW
4,1,1,24,30,21,COIL20_new/COIL20_run_26/COIL20-0.035709476768015225-79.0.tree,NEW
8,0,4,26,38,23,COIL20_new/COIL20_run_26/COIL20-0.03197544060660262-89.0.tree,NEW
8,2,4,29,43,25,COIL20_new/COIL20_run_26/COIL20-0.028689090561889674-115.0.tree,NEW
7,1,4,28,40,25,COIL20_new/COIL20_run_26/COIL20-0.028728796389448696-102.0.tree,NEW
10,3,5,31,49,28,COIL20_new/COIL20_run_26/COIL20-0.02813008840077469-205.0.tree,NEW
0,0,0,9,9,9,COIL20_new/COIL20_run_26/COIL20-0.09917940513451107-18.0.tree,NEW
1,0,0,11,12,10,COIL20_new/COIL20_run_26/COIL20-0.08033298168641456-34.0.tree,NEW
5,1,3,26,35,24,COIL20_new/COIL20_run_26/COIL20-0.033599886355169195-84.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_26/COIL20-0.3146696149116924-2.0.tree,NEW
4,0,1,23,28,21,COIL20_new/COIL20_run_26/COIL20-0.03578346234816293-74.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_26/COIL20-0.18631655674789466-4.0.tree,NEW
8,3,7,33,51,30,COIL20_new/COIL20_run_26/COIL20-0.02633813296445231-4224.0.tree,NEW
3,1,2,20,26,19,COIL20_new/COIL20_run_26/COIL20-0.042232259296520025-46.0.tree,NEW
2,1,2,23,28,22,COIL20_new/COIL20_run_26/COIL20-0.04122045933005519-50.0.tree,NEW
8,3,5,31,47,28,COIL20_new/COIL20_run_26/COIL20-0.028302535118115923-141.0.tree,NEW
2,1,2,20,25,19,COIL20_new/COIL20_run_26/COIL20-0.042600242659661-44.0.tree,NEW
1,0,0,9,10,8,COIL20_new/COIL20_run_26/COIL20-0.09334017996870142-30.0.tree,NEW
8,4,9,36,57,30,COIL20_new/COIL20_run_26/COIL20-0.026182802835531205-524926.0.tree,NEW
1,0,0,10,11,9,COIL20_new/COIL20_run_26/COIL20-0.08683258113495868-32.0.tree,NEW
7,2,5,30,44,27,COIL20_new/COIL20_run_26/COIL20-0.02862593384380291-126.0.tree,NEW
0,0,1,8,9,8,COIL20_new/COIL20_run_26/COIL20-0.11075509771592501-16.0.tree,NEW
3,0,1,23,27,21,COIL20_new/COIL20_run_26/COIL20-0.036928678552798744-72.0.tree,NEW
6,0,3,25,34,22,COIL20_new/COIL20_run_26/COIL20-0.033847215235859596-83.0.tree,NEW
7,3,6,32,48,29,COIL20_new/COIL20_run_26/COIL20-0.026848766208360686-246.0.tree,NEW
9,4,7,34,54,31,COIL20_new/COIL20_run_26/COIL20-0.026474134156792728-898.0.tree,NEW
8,0,4,27,39,24,COIL20_new/COIL20_run_26/COIL20-0.028984916443103637-101.0.tree,NEW
8,1,6,30,45,27,COIL20_new/COIL20_run_26/COIL20-0.02724244774200807-238.0.tree,NEW
2,0,1,22,25,21,COIL20_new/COIL20_run_26/COIL20-0.03847811405469881-58.0.tree,NEW
8,4,7,34,53,29,COIL20_new/COIL20_run_26/COIL20-0.02651468999180273-882.0.tree,NEW
9,3,5,31,48,28,COIL20_new/COIL20_run_26/COIL20-0.028138320664729266-157.0.tree,NEW
1,0,0,12,13,11,COIL20_new/COIL20_run_26/COIL20-0.07127541871599968-36.0.tree,NEW
3,0,0,18,21,17,COIL20_new/COIL20_run_19/COIL20-0.04332014075191837-52.0.tree,NEW
